Summary stop stats,,,,,,,,,,,,,,
Selected days,Selected days,01/04/2026 - 30/04/2026,,,,,,,,,,,,
Mean value,Mean value,Average,,,,,,,,,,,,
Columns,Columns,Some are hidden,,,,,,,,,,,,
,,,,,,,,,,,,,,
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Occupancy,Occupancy,Occupancy,Occupancy,Delay
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Arrival,Arrival,Departure,Departure,Delay
Ident.,Name,APC,All,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Ø
206,Debreceni Törvényszék,1682,8824,2554,1.5,1319,0.8,3873,2.3,18459,11.0,19689,11.7,00:02:49
194,Gönczy Pál Általános Iskola,60,410,63,1.1,75,1.2,138,2.3,345,5.8,333,5.5,00:03:31
077,Bihari utca,638,3370,270,0.4,1195,1.9,1465,2.3,5272,8.3,4323,6.8,00:02:29
120,DAB-székház,371,1551,596,1.6,253,0.7,849,2.3,2149,5.8,2493,6.7,00:03:03
411,Nagy Lajos király tér,386,1847,438,1.1,445,1.2,883,2.3,4871,12.6,4867,12.6,00:02:21
361,Laktanya utca,989,5766,709,0.7,1549,1.6,2258,2.3,12814,13.0,11980,12.1,00:02:48
285,Kardos utca,146,410,147,1.0,186,1.3,333,2.3,1980,13.6,1943,13.3,00:02:26
393,Mechwart András Szki.,341,1437,685,2.0,92,0.3,777,2.3,2575,7.6,3168,9.3,00:00:40
444,Ótemető utca,630,4028,904,1.4,529,0.8,1433,2.3,6870,10.9,7266,11.5,00:01:20
264,Jégcsarnok,457,2804,0,0,1035,2.3,1035,2.3,1096,2.4,0,,00:03:21
331,Komáromi Csipkés György tér,1058,4384,704,0.7,1690,1.6,2394,2.3,10130,9.6,9097,8.6,00:02:35
196,Gyepűsor utca,1654,7030,2656,1.6,1042,0.6,3698,2.2,12751,7.7,14464,8.7,00:01:58
140,Doberdó utca,487,2140,0,0,1078,2.2,1078,2.2,1085,2.2,0,,00:04:57
586,Vágóhíd utca,399,1950,423,1.1,459,1.2,882,2.2,5594,14.0,5557,13.9,00:02:46
305,Keresztesi utca,355,1465,670,1.9,109,0.3,779,2.2,3962,11.2,4529,12.8,00:01:42
322,Klaipeda utca,362,1635,340,0.9,439,1.2,779,2.2,6265,17.3,6168,17.0,00:01:45
542,Szivárvány utca,151,780,313,2.1,11,0.1,324,2.1,758,5.0,1069,7.1,00:01:47
292,Kassai út,707,4941,805,1.1,712,1.0,1517,2.1,6483,11.4,6603,9.3,00:01:37
155,Egyetem tér,386,1847,554,1.4,271,0.7,825,2.1,4560,11.8,4871,12.6,00:02:20
356,Kürtös utca,351,1435,219,0.6,529,1.5,748,2.1,3538,10.1,3215,9.2,00:03:17
453,Fóliás utca,146,1177,289,2.0,22,0.2,311,2.1,1205,8.3,1483,10.2,00:01:27
159,Endre utca,262,1191,437,1.7,121,0.5,558,2.1,958,3.7,1277,4.9,00:02:00
152,Egyetem sugárút,418,1894,708,1.7,181,0.4,889,2.1,6555,15.7,7103,17.0,00:01:14
626,Tudáspark,512,2555,223,0.4,862,1.7,1085,2.1,1922,3.8,1278,2.5,00:02:54
056,Bartók Béla út,446,1660,862,1.9,79,0.2,941,2.1,4620,10.4,5406,12.1,00:01:45
148,Dorottya utca,1654,7030,2851,1.7,615,0.4,3466,2.1,14464,8.7,16728,10.1,00:02:27
359,Lahner utca 53.,259,1005,313,1.2,228,0.9,541,2.1,772,3.0,857,3.3,00:01:57
517,Biczókert utca,153,1177,23,0.2,295,1.9,318,2.1,1824,11.9,1512,9.9,00:03:35
207,Haláp,329,975,376,1.1,304,0.9,680,2.1,313,1.9,376,2.3,-00:00:04
566,Tócóskert tér,1285,6473,249,0.2,2397,1.9,2646,2.1,6474,5.0,4222,3.3,00:03:41
053,Barátság utca,103,671,105,1.0,107,1.0,212,2.1,264,2.6,262,2.5,00:01:23
617,Zsibogó,399,1950,153,0.4,668,1.7,821,2.1,6107,15.3,5594,14.0,00:02:42
062,Békessy Béla utca,1168,5687,1286,1.1,1110,1.0,2396,2.1,10139,8.7,10303,8.8,00:02:52
153,Egyetem sugárút,719,2950,556,0.8,918,1.3,1474,2.1,7695,10.7,7316,10.2,00:02:20
250,Hun utca,883,3061,1573,1.8,225,0.3,1798,2.0,5947,6.7,7295,8.3,00:00:50
200,Hadházi út,178,620,299,1.7,63,0.4,362,2.0,2104,11.8,2336,13.1,00:04:10
111,Cseresznye utca,246,1297,132,0.5,368,1.5,500,2.0,856,3.5,608,2.5,00:01:51
116,Csokonai Vitéz Mihály Gimnázium,37,226,9,0.2,66,1.8,75,2.0,325,8.8,265,7.2,00:02:42
410,Nagy Lajos király tér,418,1894,554,1.3,291,0.7,845,2.0,7103,17.0,7366,17.6,00:01:32
788,Szent Efrém Általános Iskola,1472,7138,1584,1.1,1386,0.9,2970,2.0,18418,12.5,18655,12.7,00:03:32
058,Bayk András utca,430,1820,846,2.0,21,0.0,867,2.0,1130,4.2,1965,4.6,00:01:27
595,Vécsey utca,728,3949,821,1.1,638,0.9,1459,2.0,9784,13.4,9956,13.7,00:02:12
372,Lovas utca,302,1470,119,0.4,484,1.6,603,2.0,730,2.4,330,1.1,00:03:08
199,Hadházi út,184,653,86,0.5,281,1.5,367,2.0,2370,12.9,2178,11.8,00:02:40
