Summary stop stats,,,,,,,,,,,,,,
Selected days,Selected days,01/04/2026 - 30/04/2026,,,,,,,,,,,,
Mean value,Mean value,Average,,,,,,,,,,,,
Columns,Columns,Some are hidden,,,,,,,,,,,,
,,,,,,,,,,,,,,
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Occupancy,Occupancy,Occupancy,Occupancy,Delay
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Arrival,Arrival,Departure,Departure,Delay
Ident.,Name,APC,All,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Ø
143,Dobozi lakótelep,541,2420,1650,3.04990757855823,1331,2.46025878003697,2981,5.51016635859519,6168,11.4011090573013,6504,12.0221811460259,0.00146990740740741
828,Schaeffler Motion Technologies Debrecen,137,500,236,1.72262773722628,518,3.78102189781022,754,5.5036496350365,1363,9.94890510948905,1081,7.89051094890511,0.00215277777777778
102,Főnix Aréna,348,1212,427,1.22701149425287,1431,4.11206896551724,1858,5.33908045977012,3161,9.08333333333334,2131,6.1235632183908,0.00181712962962963
234,Helyközi autóbusz-állomás,2298,11265,6586,2.86597040905135,5423,2.35987815491732,12009,5.22584856396867,20370,8.86422976501306,21527,9.36771105308964,0.00145833333333333
150,Dózsa György utca,193,931,640,3.3160621761658,360,1.86528497409326,1000,5.18134715025907,1397,7.23834196891192,1668,8.64248704663212,0.00194444444444444
852,Nagymacsi út,376,663,919,2.44414893617021,1021,2.71542553191489,1940,5.15957446808511,3816,10.1489361702128,3693,9.8218085106383,0.0012037037037037
184,Főnix Aréna,707,4941,2116,2.99292786421499,1450,2.05091937765205,3566,5.04384724186704,8164,11.5473833097595,8827,12.4851485148515,0.00165509259259259
126,Egyetem,986,4604,1873,1.89959432048682,3017,3.05983772819473,4890,4.95943204868154,16055,16.2829614604462,14928,15.1399594320487,0.00165509259259259
183,Főnix Aréna,1104,6120,2657,2.40670289855072,2736,2.47826086956522,5393,4.88496376811594,12843,11.633152173913,12758,11.5561594202899,0.00219907407407407
278,Kadosa utca,326,1420,1536,4.71165644171779,38,0.116564417177914,1574,4.82822085889571,1138,3.49079754601227,2646,8.11656441717791,0.000868055555555556
294,Kemény Zsigmond utca,766,4980,1211,1.58093994778068,2451,3.19973890339426,3662,4.78067885117494,9436,12.3185378590078,8219,10.7297650130548,0.00196759259259259
142,Dobozi lakótelep,932,5498,2286,2.45278969957082,2136,2.29184549356223,4422,4.74463519313305,9700,10.4077253218884,9857,10.5761802575107,0.00115740740740741
101,Burgundia utca,573,3351,1289,2.24956369982548,1338,2.33507853403141,2627,4.58464223385689,8172,14.261780104712,8121,14.1727748691099,0.00107638888888889
026,Árpád tér,894,5662,2348,2.62639821029083,1715,1.91834451901566,4063,4.54474272930649,10842,12.1275167785235,11463,12.8221476510067,0.00173611111111111
025,Árpád tér,989,5766,2352,2.37815975733064,2120,2.14357937310415,4472,4.52173913043478,12578,12.7178968655207,12814,12.9565217391304,0.00194444444444444
853,Beszállítói Park,376,663,731,1.94414893617021,964,2.56382978723404,1695,4.50797872340426,3693,9.8218085106383,3438,9.1436170212766,0.00142361111111111
510,Segner tér,1370,6433,5711,4.16861313868613,435,0.317518248175182,6146,4.48613138686131,5134,15.7969230769231,10408,7.5970802919708,0.00109953703703704
295,Kemény Zsigmond utca,707,4941,2340,3.30975954738331,778,1.1004243281471,3118,4.41018387553041,6603,9.33946251768034,8164,11.5473833097595,0.00113425925925926
512,Segner tér,630,3070,0,0,2717,4.31269841269841,2717,4.31269841269841,2726,4.32698412698413,0,,0.00173611111111111
817,Krones Hungary Kft.,137,500,280,2.04379562043796,304,2.21897810218978,584,4.26277372262774,1803,21.9878048780488,1777,12.970802919708,0.000300925925925926
489,Rózsás Csárda,468,2862,1471,3.14316239316239,519,1.10897435897436,1990,4.25213675213675,2944,6.29059829059829,3898,8.32905982905983,0.00136574074074074
268,Józsakert utca,203,1107,188,0.926108374384236,661,3.25615763546798,849,4.18226600985222,1276,6.28571428571428,803,3.95566502463054,0.00168981481481481
509,Segner tér,1358,8189,4232,3.11634756995582,1278,0.941089837997054,5510,4.05743740795287,6862,10.2724550898204,9817,7.22901325478645,0.00128472222222222
172,Faraktár utca,1173,4954,1996,1.70161977834612,2736,2.33248081841432,4732,4.03410059676044,13926,11.8721227621483,13162,11.2208013640239,0.00186342592592593
261,Jánosi utca,296,1530,870,2.93918918918919,318,1.07432432432432,1188,4.01351351351351,1864,6.2972972972973,2416,8.16216216216216,0.00178240740740741
616,Zsibogó,487,2719,479,0.983572895277207,1452,2.98151950718686,1931,3.96509240246407,5957,12.2320328542094,4971,10.2073921971253,0.00152777777777778
391,Mechwart András Szki.,1068,6598,1832,1.71535580524345,2338,2.18913857677903,4170,3.90449438202247,7755,7.26123595505618,7246,6.78464419475655,0.000729166666666667
227,Határ úti Ipari Park,156,640,22,0.141025641025641,585,3.75,607,3.89102564102564,1688,10.8205128205128,1125,7.21153846153846,0.00140046296296296
831,Sensirion Hungary Kft.,51,340,127,2.49019607843137,70,1.37254901960784,197,3.86274509803922,373,7.31372549019608,429,8.41176470588235,0.00106481481481481
310,Kinizsi Nyomda,509,2295,997,1.95874263261297,964,1.89390962671906,1961,3.85265225933202,967,3.97942386831276,997,3.74812030075188,0.00153935185185185
346,Kölcsey Központ (Hunyadi János utca),1076,4670,2297,2.13475836431227,1835,1.70539033457249,4132,3.84014869888476,14018,13.0278810408922,14454,13.4330855018587,0.00138888888888889
094,Brassai Sámuel Szki.,539,2408,1228,2.27829313543599,821,1.52319109461967,2049,3.80148423005566,5769,10.7031539888683,6166,11.4397031539889,0.00122685185185185
068,Benedek Elek tér,133,340,420,3.1578947368421,85,0.639097744360902,505,3.79699248120301,775,5.82706766917293,1138,8.55639097744361,0.000555555555555556
106,Csapó utca,933,4705,2726,2.92175777063237,786,0.842443729903537,3512,3.76420150053591,11043,11.8360128617363,12955,13.8853161843516,0.00157407407407407
